City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
305,Marsh Harbour,BS,79.43,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
306,Fortuna,US,40.66,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
307,Safranbolu,TR,45.46,clear sky,41.2508,32.6942,GuleviSafranbolu Hotel
308,Acaponeta,MX,69.85,scattered clouds,22.4964,-105.3594,Hotel Casa Blanca
309,Antofagasta,CL,60.08,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
310,Mayumba,GA,75.31,overcast clouds,-3.432,10.6554,LIKWALE LODGE
315,Port Lincoln,AU,64.49,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
316,Alghero,IT,59.09,few clouds,40.5589,8.3181,Smy Carlos V Alghero
317,Cidreira,BR,65.28,overcast clouds,-30.1811,-50.2056,Hotel Castelo
319,Harper,LR,76.42,moderate rain,4.375,-7.7169,Screensaver
321,Gap,FR,34.88,few clouds,44.6667,6.0,La Griotte
322,Caluquembe,AO,62.38,broken clouds,-13.7833,14.6833,Hotel Kalukembe
323,Zhuji,CN,78.66,broken clouds,29.7188,120.2423,YaoJiang New Century Grand Hotel Zhuji
324,Soyo,AO,78.01,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
327,Svetlogorsk,BY,45.73,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
336,Monrovia,LR,74.97,overcast clouds,6.3005,-10.7969,Sunset Inn
337,Constitucion,CL,50.94,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
339,Hami,CN,43.65,scattered clouds,42.8,93.45,Laoyutang Resort
340,Lima,PE,61.05,overcast clouds,-12.0432,-77.0282,Hotel Kamana
341,Atar,MR,73.38,broken clouds,20.5169,-13.0499,Oumou Elghoura
342,Noumea,NC,76.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
343,Adelaide,AU,70.48,few clouds,-34.9333,138.6,The Chancellor on Currie
346,Saint-Augustin,CA,32.49,overcast clouds,51.226,-58.6502,Riverview Inn
348,Yabelo,ET,66.85,overcast clouds,4.8833,38.0833,Asnakech W/michael
350,Garango,BF,75.04,overcast clouds,11.8,-0.5506,La Case LAVAL-GARANGO
351,Olafsvik,IS,40.37,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
352,Izumo,JP,66.81,few clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
354,Cubuk,TR,43.77,clear sky,40.2386,33.0322,Kurbantepe Erkek Ogrenci Yurdu
355,Pointe Michel,DM,78.98,overcast clouds,15.25,-61.3833,Roseau Hostel & Beach Front Property
356,Benguela,AO,72.73,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
358,Springfield,US,57.24,overcast clouds,37.2153,-93.2982,Best Western Route 66 Rail Haven
360,Arroyo,ES,44.64,fog,41.6096,-4.7969,Hotel El Jardín de la Abadía
361,Mehamn,NO,33.75,light shower snow,71.0357,27.8492,Mehamn Arctic Hotel AS
363,Rio Gallegos,AR,46.45,light rain,-51.6226,-69.2181,Hotel Santa Cruz
364,La Palma,US,60.31,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
365,Miracema Do Tocantins,BR,72.54,overcast clouds,-9.5618,-48.3967,Miami Apart Hotel
367,Portales,US,44.02,clear sky,34.1862,-103.3344,"Holiday Inn Express & Suites Portales, an IHG Hotel"
368,Anzio,IT,60.31,few clouds,41.4853,12.6179,Hotel Lido Garda
369,Apiai,BR,61.09,overcast clouds,-24.5094,-48.8425,Pousada Villa Branca
371,Upington,ZA,79.65,scattered clouds,-28.4478,21.2561,River Place Manor
372,Aksu,CN,47.16,clear sky,41.1231,80.2644,Pudong Holiday Hotel
373,Rawson,AR,52.14,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
374,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
377,Korla,CN,44.65,clear sky,41.7597,86.1469,Gulisitan Hotel
381,Tower,IE,58.05,broken clouds,51.9167,-8.6,Blarney Castle Hotel
382,Knysna,ZA,70.45,clear sky,-34.0363,23.0471,Protea by Marriott Hotel Knysna Quays
383,Zwettl,AT,41.85,overcast clouds,48.6,15.1667,Bergwirt Schrammel & Mohnhotel
385,Bria,CF,72.1,overcast clouds,6.5423,21.9863,WFP Guesthouse
387,Abha,SA,66.45,clear sky,18.2164,42.5053,Abha Hotel
388,Necochea,AR,59.36,few clouds,-38.5473,-58.7368,dyd -mar Hotel
389,Saint-Francois,FR,43.68,fog,46.4154,3.9054,Maison Vin d'Hus
391,Amarante Do Maranhao,BR,72.46,broken clouds,-5.5667,-46.7422,Hotéis Caçulinha
392,Havoysund,NO,34.03,light snow,70.9963,24.6622,Arctic View Glamping & Restaurant
394,Taltal,CL,58.48,scattered clouds,-25.4,-70.4833,Residencial Karime
395,Belyy Yar,RU,34.86,clear sky,53.6039,91.3903,Pasportnyy Stol
396,Fez,MA,48.45,clear sky,34.0372,-4.9998,Hotel Mounia Fès
397,Tecoanapa,MX,77.7,clear sky,16.5167,-98.75,Hotel Manglares
399,Grindavik,IS,39.67,scattered clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
401,Chaupal,IN,53.69,clear sky,30.95,77.5833,Mehta organic orchard
407,Buraydah,SA,74.39,overcast clouds,26.326,43.975,Mövenpick Qassim
410,San Quintin,MX,59.81,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
412,Oranjestad,AW,79.92,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
414,Vestmannaeyjar,IS,45.57,overcast clouds,63.4427,-20.2734,Glamping & Camping
416,Winneba,GH,77.0,overcast clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
417,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
419,Beeville,US,69.3,clear sky,28.4008,-97.7483,"Holiday Inn Express & Suites Beeville, an IHG Hotel"
420,Machico,PT,66.7,few clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
422,Puerto Carreno,CO,75.63,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
425,Aleppo,SY,60.26,clear sky,36.25,37.5,أمل دوريش
426,Pocone,BR,72.72,few clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
427,Zapolyarnyy,RU,31.28,overcast clouds,69.4154,30.8136,Pechenga
430,Grajau,BR,73.0,broken clouds,-5.8194,-46.1386,Hotel Confiança
434,Kashi,CN,45.72,broken clouds,39.4547,75.9797,帕米尔青年旅舍
435,San Andres,CO,78.82,few clouds,12.5847,-81.7006,Hotel Arena Blanca
436,Shetpe,KZ,42.73,overcast clouds,44.1667,52.1167,Нұрберген Абыл
437,Hamilton,US,63.72,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
438,Wukari,NG,75.16,light rain,7.85,9.7833,Elimtop
439,Camacha,PT,62.02,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
440,Salta,AR,62.64,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
441,Kaunas,LT,46.87,overcast clouds,54.9,23.9,Amberton Cozy Hotel Kaunas
442,Sorland,NO,46.26,light rain,67.667,12.6934,Sjybrygga fiskecamp
444,Chicama,PE,59.54,broken clouds,-7.8447,-79.1469,Balihai Bungalows
447,Dubna,RU,44.17,light rain,56.7333,37.1667,Rezident-Otel'
450,Virovitica,HR,44.35,broken clouds,45.8319,17.3839,Rooms Virovitica
451,Summerville,US,75.15,heavy intensity rain,33.0185,-80.1757,Hampton Inn Summerville
454,Derzhavinsk,KZ,32.16,overcast clouds,51.1,66.3167,Ooo.khim Baza
455,Waddan,LY,59.94,clear sky,29.1614,16.139,محل الشريف محمد العايب
458,Port Augusta,AU,78.33,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
459,Rodrigues Alves,BR,71.56,overcast clouds,-7.738,-72.6509,Pousada Aconchego
460,San Cristobal,VE,63.82,overcast clouds,7.7669,-72.225,Pirineos
461,Chama,CH,47.07,broken clouds,47.1821,8.4636,City Garden Hotel
462,Tamandare,BR,75.2,few clouds,-8.7597,-35.1047,Pousada 100 Passos
463,Bella Union,UY,70.61,overcast clouds,-30.2752,-57.6007,Saville Free Shop
467,Xingcheng,CN,59.86,overcast clouds,40.6167,120.7167,New Century Hotel
468,Las Vegas,US,52.59,clear sky,36.175,-115.1372,Plaza Hotel & Casino
469,Iralaya,HN,78.33,clear sky,15.0,-83.2333,Iglesia morava renovada
470,Lata,PT,47.91,few clouds,40.1629,-8.3327,Casa Maquia
471,North Bend,US,40.91,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
474,Trinidad,BO,76.59,broken clouds,-14.8333,-64.9,Hotel Piesta
475,Ilheus,BR,74.44,scattered clouds,-14.7889,-39.0494,Barravento Hotel
476,Xining,CN,34.52,light snow,36.6167,101.7667,Super Leisure Hotel
477,Hualmay,PE,63.09,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
478,Goroka,PG,70.7,overcast clouds,-6.0834,145.3873,Bird of Paradise Hotel & Apartments
480,Itaituba,BR,73.2,overcast clouds,-4.2761,-55.9836,Hotel Campos
481,Ayr,GB,60.69,overcast clouds,55.4627,-4.6339,Mercure Ayr Hotel
482,Kamaishi,JP,53.56,clear sky,39.2667,141.8833,Hotel Route Inn Kamaishi
485,Vila Franca Do Campo,PT,63.01,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
487,Alizai,PK,63.73,clear sky,33.5383,70.3462,Alizai Rest House
488,Itarema,BR,78.39,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
490,Nhlangano,SZ,63.37,overcast clouds,-27.1167,31.2,Nhlangano BnB
493,Greenwood,US,66.79,light rain,34.1668,-82.1165,Quality Inn Greenwood Hwy 25
495,Jalu,LY,59.31,clear sky,29.0331,21.5482,صاحبة الفخامة
497,Kaifeng,CN,71.42,broken clouds,34.7911,114.3483,Pullman Kaifeng Jianye
498,Luangwa,ZM,78.15,overcast clouds,-15.6167,30.4167,Gerasimos Safari Lodge
501,San Julian,MX,55.27,clear sky,21.0167,-102.1667,La Nueva España
503,Killybegs,IE,59.52,overcast clouds,54.6333,-8.45,Tara Hotel
505,Tikrit,IQ,71.38,clear sky,34.6071,43.6782,عماره العبطه
506,Mweka,CD,69.19,overcast clouds,-4.85,21.5667,Guest House Boshab
