City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
183,Skowhegan,US,52.38,overcast clouds,44.7651,-69.7192,Kyes Motel
186,Kruisfontein,ZA,64.89,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
187,Honningsvag,NO,33.55,light snow,70.9821,25.9704,Nordkapp Vandrerhjem
188,Warrington,GB,60.46,overcast clouds,53.3925,-2.5802,Villaggio Hotel
190,Colesberg,ZA,67.87,overcast clouds,-30.72,25.0972,Bhelekazi Guesthouse
191,Prince Rupert,CA,37.36,light rain,54.3161,-130.3201,Crest Hotel
193,Shieli,KZ,41.74,scattered clouds,44.1667,66.75,Gostinitsa Aybek Shieli
194,Dali,CN,68.09,clear sky,25.7,100.1833,Dali Travelling With Hostel
195,Sao Roque,BR,66.36,scattered clouds,-23.5292,-47.1353,Hotel Alpino
197,Riohacha,CO,75.9,overcast clouds,11.5444,-72.9072,Hotel Taroa
198,Espinosa,BR,68.0,scattered clouds,-14.9261,-42.8192,Hotel Vilma
199,Half Moon Bay,US,52.61,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
200,Marquette,US,42.24,overcast clouds,46.5333,-87.6335,Al Quaal Lodge
202,Isla Mujeres,MX,73.45,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
208,Bay Roberts,CA,42.51,light rain,47.5999,-53.2648,Stonewall Inn
209,Hasaki,JP,68.4,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
210,Flinders,AU,74.17,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
211,Ewa Beach,US,76.98,clear sky,21.3156,-158.0072,Base Lodging
213,Mizdah,LY,53.82,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
215,Port-Gentil,GA,76.08,overcast clouds,-0.7193,8.7815,Fengshui Residence
216,Yuryevets,RU,43.07,moderate rain,57.3201,43.1041,Pavlikov House
217,Chipinge,ZW,67.8,overcast clouds,-20.1883,32.6236,Chipinge Breeze Lodge
218,Pareora,NZ,59.18,overcast clouds,-44.4871,171.2132,"Kingsdown Suite, Timaru"
222,Kavieng,PG,79.36,heavy intensity rain,-2.5744,150.7967,Nusa Island Retreat
224,Ballina,AU,75.78,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
225,Marawi,PH,76.95,overcast clouds,7.9986,124.2928,Derogongan Residence
226,Havelock,US,75.18,overcast clouds,34.8791,-76.9013,Sherwood Motel
227,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
228,Ponta Do Sol,PT,66.7,broken clouds,32.6667,-17.1,Hotel do Campo
230,Novoye Leushino,RU,43.21,light rain,56.8073,40.5144,U Petra I Pavla
231,Souillac,MU,77.65,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
232,Pisco,PE,61.02,mist,-13.7,-76.2167,Hotel San Isidro Oficial
233,Lebu,CL,53.71,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
237,Villazon,BO,44.46,scattered clouds,-22.0866,-65.5942,La Candelaria
239,Sotouboua,TG,72.64,broken clouds,8.5667,0.9833,Auberge Médina
241,Jadu,LY,51.73,few clouds,31.953,12.0261,امياس للصرافة
244,Imbituba,BR,61.88,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
245,Neijiang,CN,71.8,broken clouds,29.5835,105.0622,Han'an Hotel
246,Dahuk,IQ,60.35,scattered clouds,36.8695,42.994,Parwar Hotel
