City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
285,Rio Grande,BR,-32.035,-52.0986,63.77,88,91,12.03,overcast clouds
286,Saint-Pierre,RE,-21.3393,55.4781,82.9,61,0,11.5,clear sky
287,Acarau,BR,-2.8856,-40.12,78.01,80,17,12.86,few clouds
288,Chapais,CA,49.7834,-74.8492,28.18,88,100,5.32,light snow
289,Neiafu,TO,-18.65,-173.9833,79.48,94,75,2.3,broken clouds
290,Columbus,US,39.9612,-82.9988,61.32,71,100,9.22,overcast clouds
291,Iquique,CL,-20.2208,-70.1431,60.84,76,36,3.06,scattered clouds
292,Oyama,JP,36.3,139.8,68.68,41,2,5.66,clear sky
293,Finschhafen,PG,-6.6024,147.8681,82.11,75,100,6.04,overcast clouds
294,Yulara,AU,-25.2406,130.9889,98.44,18,40,19.57,scattered clouds
295,Ancud,CL,-41.8697,-73.8203,52.36,98,100,4.27,light rain
296,Porto Novo,BJ,6.4965,2.6036,77.45,87,91,4.45,light rain
297,North Platte,US,41.1239,-100.7654,20.12,74,0,8.05,clear sky
298,Vilyuysk,RU,63.7553,121.6247,5.09,90,100,8.79,overcast clouds
299,Galesong,ID,-5.3166,119.3661,89.62,68,70,7.0,broken clouds
300,Bilibino,RU,68.0546,166.4372,-10.07,100,100,1.5,overcast clouds
301,Batemans Bay,AU,-35.7167,150.1833,67.1,59,100,6.29,light rain
302,Vanimo,PG,-2.6741,141.3028,83.43,77,94,7.47,overcast clouds
303,Russell,US,32.3502,-85.1999,65.91,94,75,4.61,moderate rain
304,Pecos,US,31.4229,-103.4932,63.86,44,0,5.75,clear sky
305,Marsh Harbour,BS,26.5412,-77.0636,79.43,80,96,17.9,overcast clouds
306,Fortuna,US,40.5982,-124.1573,40.66,100,75,4.61,broken clouds
307,Safranbolu,TR,41.2508,32.6942,45.46,62,0,1.28,clear sky
308,Acaponeta,MX,22.4964,-105.3594,69.85,95,42,1.21,scattered clouds
309,Antofagasta,CL,-23.65,-70.4,60.08,80,35,0.16,scattered clouds
310,Mayumba,GA,-3.432,10.6554,75.31,87,99,4.41,overcast clouds
311,Pangkalanbuun,ID,-2.6833,111.6167,87.35,65,99,6.06,heavy intensity rain
312,College,US,64.8569,-147.8028,17.2,85,100,5.75,mist
313,Manhush,UA,47.0558,37.3107,42.53,100,45,6.38,scattered clouds
314,Qaqortoq,GL,60.7167,-46.0333,18.75,91,99,2.53,overcast clouds
315,Port Lincoln,AU,-34.7333,135.8667,64.49,60,87,13.94,overcast clouds
316,Alghero,IT,40.5589,8.3181,59.09,100,17,9.22,few clouds
317,Cidreira,BR,-30.1811,-50.2056,65.28,88,100,12.44,overcast clouds
318,Alappuzha,IN,9.49,76.3264,84.0,72,77,2.73,broken clouds
319,Harper,LR,4.375,-7.7169,76.42,86,94,5.93,moderate rain
320,Goundam,ML,16.4145,-3.6708,72.23,12,0,5.53,clear sky
321,Gap,FR,44.6667,6.0,34.88,55,12,4.83,few clouds
322,Caluquembe,AO,-13.7833,14.6833,62.38,71,84,2.19,broken clouds
323,Zhuji,CN,29.7188,120.2423,78.66,66,73,4.41,broken clouds
324,Soyo,AO,-6.1349,12.3689,78.01,77,85,5.86,overcast clouds
325,Hay River,CA,60.8156,-115.7999,7.57,91,12,8.05,few clouds
326,Poum,NC,-20.2333,164.0167,76.01,73,100,12.66,overcast clouds
327,Svetlogorsk,BY,52.6333,29.7333,45.73,93,100,4.65,overcast clouds
328,Kungurtug,RU,50.5994,97.5228,18.68,65,50,1.77,scattered clouds
329,Cheney,US,47.4874,-117.5758,23.34,92,0,6.91,clear sky
330,Kokuy,RU,52.2037,117.5529,27.21,58,21,7.54,few clouds
331,Sola,VU,-13.8833,167.55,81.16,80,100,16.58,light rain
332,Cap Malheureux,MU,-19.9842,57.6142,81.46,57,85,8.99,overcast clouds
333,Samarai,PG,-10.6167,150.6667,82.06,73,23,12.12,few clouds
334,The Valley,AI,18.217,-63.0578,80.46,79,25,17.6,scattered clouds
335,Bara,NG,10.3744,10.7288,72.77,34,92,2.71,overcast clouds
336,Monrovia,LR,6.3005,-10.7969,74.97,81,85,6.15,overcast clouds
337,Constitucion,CL,-35.3333,-72.4167,50.94,92,82,7.09,broken clouds
338,Oranjemund,NA,-28.55,16.4333,60.55,78,19,4.56,few clouds
339,Hami,CN,42.8,93.45,43.65,30,31,4.14,scattered clouds
340,Lima,PE,-12.0432,-77.0282,61.05,85,100,11.5,overcast clouds
341,Atar,MR,20.5169,-13.0499,73.38,16,56,5.06,broken clouds
342,Noumea,NC,-22.2763,166.4572,76.98,73,93,10.63,overcast clouds
343,Adelaide,AU,-34.9333,138.6,70.48,61,20,12.66,few clouds
344,Arman,RU,59.7,150.1667,1.4,78,2,11.45,clear sky
345,Sitangkai,PH,4.6628,119.3928,83.23,70,55,1.48,broken clouds
