City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,Krasnoselkup,65.7,82.4667,-9.22,99,48,3.42,RU,2022-11-10 05:41:15
214,Nioro,13.35,-15.75,72.86,85,3,4.99,GM,2022-11-10 05:41:16
215,Atar,20.5169,-13.0499,74.62,18,2,7.02,MR,2022-11-10 05:41:16
216,Kenai,60.5544,-151.2583,35.15,94,75,8.05,US,2022-11-10 05:41:16
217,Manjeshwar,12.7194,74.8861,88.75,48,8,4.54,IN,2022-11-10 05:41:17
218,Muyezerskiy,63.9333,31.65,33.26,96,100,5.73,RU,2022-11-10 05:41:18
219,Hambantota,6.1241,81.1185,84.54,79,75,4.61,LK,2022-11-10 05:41:20
220,Los Llanos De Aridane,28.6585,-17.9182,65.95,60,40,10.36,ES,2022-11-10 05:32:52
221,Harare,-17.8294,31.0539,66.49,71,97,6.15,ZW,2022-11-10 05:41:20
222,Usinsk,65.9939,57.5281,27.54,96,100,6.53,RU,2022-11-10 05:34:58
223,Buala,-8.145,159.5921,81.23,83,100,9.33,SB,2022-11-10 05:41:22
224,Aljezur,37.3191,-8.8033,58.17,82,9,6.2,PT,2022-11-10 05:41:23
225,Bilibino,68.0546,166.4372,-2.02,98,100,0.56,RU,2022-11-10 05:31:56
226,Waingapu,-9.6567,120.2641,86.9,64,18,8.68,ID,2022-11-10 05:33:46
227,Kungurtug,50.5994,97.5228,24.57,63,99,7.29,RU,2022-11-10 05:41:24
228,Nemuro,43.3236,145.575,48.38,64,100,19.17,JP,2022-11-10 05:34:18
229,Plettenberg Bay,-34.0527,23.3716,61.27,76,84,11.34,ZA,2022-11-10 05:41:25
230,Loikaw,19.6742,97.2094,79.86,48,2,2.77,MM,2022-11-10 05:41:25
231,Brae,60.3964,-1.353,53.8,92,100,28.1,GB,2022-11-10 05:31:48
232,Hervey Bay,-25.2986,152.8535,72.14,58,79,17.72,AU,2022-11-10 05:31:46
233,Ilulissat,69.2167,-51.1,-6.38,81,100,5.61,GL,2022-11-10 05:31:30
234,Bella Union,-30.2752,-57.6007,61.65,67,24,12.06,UY,2022-11-10 05:41:26
235,Cockburn Town,21.4612,-71.1419,81.63,79,13,13.42,TC,2022-11-10 05:31:58
236,Port Hedland,-20.3167,118.5667,82.45,47,0,21.85,AU,2022-11-10 05:41:27
237,Palu,-0.8917,119.8707,85.59,79,100,3.51,ID,2022-11-10 05:41:28
238,Lima,-12.0432,-77.0282,61.05,82,0,9.22,PE,2022-11-10 05:30:23
239,Kapaa,22.0752,-159.319,78.78,82,40,13.8,US,2022-11-10 05:31:33
240,Atbasar,51.8,68.3333,31.82,89,100,16.87,KZ,2022-11-10 05:41:28
241,Bataipora,-22.2953,-53.2711,65.59,52,4,4.43,BR,2022-11-10 05:41:28
242,Luderitz,-26.6481,15.1594,62.58,64,2,12.55,NA,2022-11-10 05:33:09
243,Auki,-8.7676,160.7034,80.49,85,90,5.48,SB,2022-11-10 05:33:33
244,Mudgee,-32.5943,149.5871,74.79,48,17,1.41,AU,2022-11-10 05:41:29
245,Vardo,70.3705,31.1107,39.18,87,100,12.66,NO,2022-11-10 05:32:47
246,Thompson,55.7435,-97.8558,1.56,85,75,5.75,CA,2022-11-10 05:31:38
247,Gurun,5.8172,100.4738,89.73,74,73,7.09,MY,2022-11-10 05:41:30
248,Jalu,29.0331,21.5482,60.78,65,0,5.84,LY,2022-11-10 05:41:30
249,Sao Jose Da Coroa Grande,-8.8978,-35.1478,74.64,84,47,3.98,BR,2022-11-10 05:41:31
250,Castro,-24.7911,-50.0119,52.56,79,10,3.18,BR,2022-11-10 05:41:31
251,Padang,-0.9492,100.3543,84.25,82,99,1.43,ID,2022-11-10 05:32:51
252,Le Port,-20.9373,55.2919,80.6,63,43,1.68,RE,2022-11-10 05:41:31
253,Port Elizabeth,-33.918,25.5701,61.09,72,100,9.22,ZA,2022-11-10 05:32:14
254,Kemijarvi,66.7131,27.4306,30.52,97,100,2.73,FI,2022-11-10 05:41:32
255,Fortuna,40.5982,-124.1573,41.34,96,75,6.91,US,2022-11-10 05:41:32
256,Coquimbo,-29.9533,-71.3436,53.33,82,0,2.3,CL,2022-11-10 05:41:33
257,Ornskoldsvik,63.2909,18.7153,32.95,100,100,1.14,SE,2022-11-10 05:41:33
258,Horizontina,-27.6258,-54.3078,58.51,71,66,5.1,BR,2022-11-10 05:41:34
259,Beneditinos,-5.45,-42.3667,73.78,63,46,3.31,BR,2022-11-10 05:41:34
260,Porto Novo,6.4965,2.6036,78.62,89,81,3.36,BJ,2022-11-10 05:34:53
261,Verkhniy Uslon,55.7701,48.9823,41.22,97,100,11.34,RU,2022-11-10 05:41:35
262,Imbituba,-28.24,-48.6703,59.63,92,22,4.94,BR,2022-11-10 05:41:35
263,Hasaki,35.7333,140.8333,75.29,50,46,16.17,JP,2022-11-10 05:31:46
264,Chekhov,55.1431,37.4711,45.14,90,98,10.71,RU,2022-11-10 05:41:36
265,Port Augusta,-32.5,137.7667,85.98,28,1,14.45,AU,2022-11-10 05:41:37
266,Zhigansk,66.7697,123.3711,-4.63,97,100,14.72,RU,2022-11-10 05:41:37
267,San Quintin,30.4833,-115.95,59.81,62,0,12.84,MX,2022-11-10 05:41:38
268,Kutum,14.2,24.6667,66.88,26,3,5.44,SD,2022-11-10 05:32:03
269,Aldan,58.6031,125.3894,17.46,92,100,12.5,RU,2022-11-10 05:41:39
270,Eureka,40.8021,-124.1637,43.75,97,4,4.65,US,2022-11-10 05:30:45
271,Leningradskiy,69.3833,178.4167,0.55,85,100,3.36,RU,2022-11-10 05:32:38
272,Pedreira,-22.7419,-46.9014,63.27,82,57,4.32,BR,2022-11-10 05:41:40
273,Nichinan,31.6,131.3667,74.88,60,2,5.01,JP,2022-11-10 05:41:41
274,Marfino,55.7028,37.3822,46.54,87,75,13.42,RU,2022-11-10 05:41:41
275,Penzance,50.1186,-5.5371,56.08,89,83,24.11,GB,2022-11-10 05:27:57
276,Santa Fe,-31.6333,-60.7,72.0,60,85,7.0,AR,2022-11-10 05:41:42
277,Half Moon Bay,37.4636,-122.4286,52.61,85,0,8.05,US,2022-11-10 05:41:42
278,Bridlington,54.0831,-0.1919,54.14,90,96,8.99,GB,2022-11-10 05:40:02
279,Broome,42.2506,-75.833,43.57,71,0,9.22,US,2022-11-10 05:33:24
280,Smithers,54.7804,-127.1743,8.92,78,75,4.61,CA,2022-11-10 05:41:43
281,Olafsvik,64.8945,-23.7142,42.37,84,85,20.07,IS,2022-11-10 05:41:43
282,Horta,38.5333,-28.6333,69.44,91,75,31.07,PT,2022-11-10 05:41:43
283,Chernyshevskiy,63.0128,112.4714,19.15,92,100,12.08,RU,2022-11-10 05:41:44
284,Port Hardy,50.6996,-127.4199,33.98,93,75,3.44,CA,2022-11-10 05:41:44
285,Saint Anthony,45.0205,-93.218,64.45,95,100,3.44,US,2022-11-10 05:41:45
286,Gunjur,13.2019,-16.7339,73.47,100,0,3.44,GM,2022-11-10 05:41:45
287,Vila Praia De Ancora,41.811,-8.8526,61.11,93,44,7.7,PT,2022-11-10 05:41:46
288,Chokurdakh,70.6333,147.9167,-10.62,99,99,8.39,RU,2022-11-10 05:41:46
289,Balashov,51.5502,43.1667,40.78,80,100,8.19,RU,2022-11-10 05:41:46
290,Green Valley,31.8543,-110.9937,54.37,85,11,2.98,US,2022-11-10 05:41:47
291,Narsaq,60.9167,-46.05,32.22,90,100,2.89,GL,2022-11-10 05:31:50
292,Teguise,29.0605,-13.564,64.62,83,0,10.36,ES,2022-11-10 05:32:58
293,Bowen,-20.0167,148.2333,78.58,61,88,20.65,AU,2022-11-10 05:36:53
